App,Category,Size_in_MB,Type,Price,Content_Rating,Genres,Last_Updated,Android_Ver
Crew - Free Messaging and Scheduling,BUSINESS,48.0,Free,0.0,Everyone,Business,2018-07-20,3.0
211:CK,GAME,38.0,Paid,0.99,Teen,Arcade,2018-04-11,4.1
Offroad Car Q,FAMILY,40.0,Free,0.0,Everyone,Simulation,2016-08-04,2.3
Royale Tournaments,FAMILY,6.7,Free,0.0,Teen,Entertainment,2018-07-28,4.1
iHunter BC,SPORTS,63.0,Paid,4.49,Everyone,Sports,2018-08-03,3.0
Super Dancer VN,GAME,25.0,Free,0.0,Everyone,Music,2018-07-22,3.0
Download Manager Pro FREE,PRODUCTIVITY,7.2,Free,0.0,Everyone,Productivity,2017-10-31,4.1
FH Kufstein App,FAMILY,20.0,Free,0.0,Everyone,Education,2017-11-20,4.4
Konferencija.eu,BUSINESS,1.6,Free,0.0,Everyone,Business,2017-03-21,4.0
Fever,EVENTS,12.0,Free,0.0,Teen,Events,2018-07-18,4.1
BLACKJACK!,GAME,33.0,Free,0.0,Teen,Casino,2016-07-07,2.3
"Meitu – Beauty Cam, Easy Photo Editor",PHOTOGRAPHY,45.0,Free,0.0,Everyone,Photography,2018-08-01,4.3
N Launcher - Nougat 7.0,PERSONALIZATION,8.4,Free,0.0,Everyone,Personalization,2018-05-24,4.1
Driving Zone,GAME,57.0,Free,0.0,Everyone,Racing,2018-06-06,4.1
SavingStar - Grocery Coupons,SHOPPING,21.0,Free,0.0,Everyone,Shopping,2018-06-12,4.0
OptoDrum,MEDICAL,0.37,Paid,5.99,Everyone,Medical,2015-05-26,3.0
Trailer Addict Movie Trailers,ENTERTAINMENT,9.1,Free,0.0,Teen,Entertainment,2018-02-14,4.2
"Mobizen Screen Recorder for LG - Record, Capture",VIDEO_PLAYERS,37.0,Free,0.0,Everyone,Video Players & Editors,2018-04-26,4.4
Android P Home KLWP,PERSONALIZATION,2.1,Paid,1.49,Everyone,Personalization,2018-04-14,5.0
Best DP and Status - All Type DP & Status,FAMILY,5.7,Free,0.0,Everyone,Entertainment,2018-05-30,3.0
Coupon Sherpa,SHOPPING,6.1,Free,0.0,Everyone,Shopping,2018-02-06,3.0
Oral-B App,HEALTH_AND_FITNESS,96.0,Free,0.0,Everyone,Health & Fitness,2018-07-19,5.0
West Central Ag,BUSINESS,1.7,Free,0.0,Everyone,Business,2017-01-16,4.0
Butterfly Live Wallpaper,PERSONALIZATION,3.5,Free,0.0,Everyone,Personalization,2018-05-04,4.1
FH Calculator,HEALTH_AND_FITNESS,0.97,Free,0.0,Everyone,Health & Fitness,2015-06-04,4.0
"ipsy: Makeup, Beauty, and Tips",BEAUTY,14.0,Free,0.0,Everyone,Beauty,2017-11-09,4.1
AQ Ria Retail,FAMILY,52.0,Free,0.0,Everyone,Education,2018-04-03,4.1
FK Železiarne Podbrezová,SPORTS,26.0,Free,0.0,Everyone,Sports,2018-04-23,4.1
Cl-app!,SPORTS,0.34,Free,0.0,Everyone,Sports,2013-05-02,2.0
FN pistol Model 1906 explained,BOOKS_AND_REFERENCE,5.3,Paid,5.49,Everyone,Books & Reference,2017-03-09,1.6
ai.type keyboard Plus + Emoji,TOOLS,35.0,Paid,4.49,Everyone,Tools,2018-07-24,4.1
Cooking Channel,ENTERTAINMENT,16.0,Free,0.0,Teen,Entertainment,2018-07-27,3.8298220146427666
Noot-Noot-er!,FAMILY,2.8,Free,0.0,Everyone,Entertainment,2017-11-22,3.0
Bike Computer - GPS Cycling Tracker,HEALTH_AND_FITNESS,4.3,Free,0.0,Everyone,Health & Fitness,2018-08-04,4.2
Tiger Live Wallpaper,PERSONALIZATION,7.1,Free,0.0,Teen,Personalization,2018-05-31,4.0
DP & Status,FAMILY,4.7,Free,0.0,Everyone,Entertainment,2018-01-09,4.1
CF-Bench Pro,TOOLS,0.03,Paid,1.49,Everyone,Tools,2011-06-23,1.6
Fo File Manager,TOOLS,0.36,Free,0.0,Everyone,Tools,2015-12-31,2.1
QR Scanner & Barcode Scanner 2018,PRODUCTIVITY,4.1,Free,0.0,Everyone,Productivity,2018-07-20,4.4
Auction Wars : Storage King,GAME,63.0,Free,0.0,Everyone,Casino,2017-09-15,2.3
"Spot On Period, Birth Control, & Cycle Tracker",HEALTH_AND_FITNESS,24.0,Free,0.0,Everyone 10+,Health & Fitness,2018-07-19,4.2
Ek Kauwa Pyasa Tha,FAMILY,3.1,Free,0.0,Everyone,Entertainment,2017-06-25,4.0
CV S ( CV Editor - Resume ),BUSINESS,5.6,Free,0.0,Teen,Business,2018-06-25,4.0
Oddworld: New 'n' Tasty,GAME,34.0,Paid,4.99,Teen,Action,2018-01-02,5.0
Gunship III Vietnam People AF,FAMILY,19.0,Paid,4.99,Everyone,Simulation,2016-12-09,2.3
Tribeca Shortlist - Handpicked Movies,ENTERTAINMENT,57.0,Free,0.0,Teen,Entertainment,2018-03-21,4.3
AH-1 Viper Cobra Ops - helicopter flight simulator,GAME,86.0,Free,0.0,Teen,Action,2018-02-16,4.3
learn c in hindi,FAMILY,2.7,Free,0.0,Everyone,Education,2017-06-24,4.0
T. Rowe Price Personal® App,FINANCE,4.5,Free,0.0,Everyone,Finance,2018-07-06,6.0
EB Cash Collections,BUSINESS,4.3,Free,0.0,Everyone,Business,2018-07-31,4.4
Planet of Cubes Survival Craft,FAMILY,35.0,Free,0.0,Everyone,Simulation,2018-06-26,4.1
Dialer theme G Black Gold,PERSONALIZATION,0.84,Paid,1.49,Everyone,Personalization,2016-01-01,4.0
ES Holo Theme,TOOLS,1.7,Free,0.0,Everyone,Tools,2016-02-02,2.0
qEG APP / Química EG SRL,TOOLS,0.12,Free,0.0,Everyone,Tools,2018-07-24,4.0
mysms SMS Text Messaging Sync,COMMUNICATION,8.4,Free,0.0,Everyone,Communication,2018-07-30,3.0
The Gang Sniper V. Pocket Edition.,GAME,61.0,Free,0.0,Mature 17+,Action,2018-06-20,4.1
Video Maker with Photo and Music,PHOTOGRAPHY,30.0,Free,0.0,Everyone,Photography,2018-03-19,4.1
DB Stay Connected,BUSINESS,9.4,Free,0.0,Everyone,Business,2017-12-08,4.0
Cyprus Bus Companion,MAPS_AND_NAVIGATION,1.4,Free,0.0,Everyone,Maps & Navigation,2013-12-26,2.2
EXO-L Amino for EXO Fans,SOCIAL,67.0,Free,0.0,Teen,Social,2018-07-13,3.0
Air Traffic,MAPS_AND_NAVIGATION,6.8,Free,0.0,Everyone,Maps & Navigation,2018-07-24,5.0
Masha and The Bear Jam Day Match 3 games for kids,FAMILY,98.0,Free,0.0,Everyone,Puzzle;Brain Games,2018-08-07,4.1
Q,FAMILY,60.0,Free,0.0,Everyone,Puzzle,2018-04-19,4.0
Target - now with Cartwheel,SHOPPING,24.0,Free,0.0,Everyone,Shopping,2018-07-25,5.0
Cards Casino:Video Poker & BJ,GAME,23.0,Free,0.0,Teen,Casino,2015-05-08,2.3
EFAmbassador,FAMILY,10.0,Free,0.0,Everyone,Education,2018-07-10,5.0
DT Smart,TOOLS,8.9,Free,0.0,Everyone,Tools,2017-12-07,4.1
SYFY,FAMILY,18.0,Free,0.0,Teen,Entertainment,2018-05-24,4.4
BN Inscript Improved Keyboard,PRODUCTIVITY,7.5,Free,0.0,Everyone,Productivity,2017-11-06,2.3
Ghost Detector,FAMILY,7.4,Free,0.0,Teen,Entertainment,2018-05-25,4.0
KISW 99.9 FM SEATTLE,FAMILY,5.2,Free,0.0,Everyone,Entertainment,2018-01-29,2.3
"Wallpapers HD, 4K Backgrounds",PERSONALIZATION,12.0,Free,0.0,Everyone,Personalization,2018-07-23,4.4
Daily Manga - Comic & Webtoon,COMICS,7.1,Free,0.0,Mature 17+,Comics,2018-05-18,3.0
GANMA! - All original stories free of charge for all original comics,COMICS,27.0,Free,0.0,Teen,Comics,2018-07-23,4.1
Consultar Infracciones de Transito DF y Mexico,TOOLS,2.9,Free,0.0,Everyone,Tools,2018-07-23,4.0
Omlet Chat,COMMUNICATION,35.0,Free,0.0,Teen,Communication,2016-11-04,3.0
HD Themes Volvo FH Trucks,PERSONALIZATION,13.0,Free,0.0,Teen,Personalization,2016-06-21,2.3
NoteToDo. Notes. To do list,PRODUCTIVITY,5.0,Free,0.0,Everyone,Productivity,2018-08-04,4.0
My Tele2,COMMUNICATION,8.8,Free,0.0,Everyone,Communication,2018-08-03,4.4
BN Habitat - Property Experts - Buy | Sell | Rent,BUSINESS,8.9,Free,0.0,Everyone,Business,2017-10-04,4.1
Dating for 50 plus Mature Singles – FINALLY,DATING,13.0,Free,0.0,Mature 17+,Dating,2018-07-31,4.1
E-cigarette for free,FAMILY,4.8,Free,0.0,Mature 17+,Entertainment,2017-10-23,2.3
Car Parking Crane N Drifting,FAMILY,71.0,Free,0.0,Everyone,Simulation,2018-02-26,3.0
Avakin Life - 3D virtual world,FAMILY,91.0,Free,0.0,Teen,Role Playing,2018-07-03,4.1
VZ Navigator for Galaxy S4,TRAVEL_AND_LOCAL,39.0,Free,0.0,Everyone,Travel & Local,2018-01-22,4.2
Photo Collage - Layout Editor,PHOTOGRAPHY,46.0,Free,0.0,Everyone,Photography,2017-12-04,5.0
"Hily: Dating, Chat, Match, Meet & Hook up",DATING,56.0,Free,0.0,Mature 17+,Dating,2018-08-01,4.1
12 Step Meditations & Sober Prayers AA NA AL-ANON,LIFESTYLE,15.0,Free,0.0,Everyone 10+,Lifestyle,2018-01-22,4.1
Kay AH GA,MEDICAL,29.0,Free,0.0,Everyone,Medical,2018-02-15,3.0
Third Eye,TOOLS,4.5,Free,0.0,Everyone,Tools,2018-01-07,4.0
Lexus Tech BH Service Pro,LIFESTYLE,0.88,Free,0.0,Teen,Lifestyle,2016-07-26,3.0
FK Mladost Lucani,SPORTS,26.0,Free,0.0,Everyone,Sports,2018-02-19,4.1
"f.lux (preview, root-only)",HEALTH_AND_FITNESS,3.7,Free,0.0,Everyone,Health & Fitness,2016-03-15,3.0
VITEK EH DVR Viewer (Pro),TOOLS,3.3,Free,0.0,Everyone,Tools,2013-10-11,2.2
Thomas & Friends: Go Go Thomas,FAMILY,16.0,Free,0.0,Everyone,Racing;Action & Adventure,2017-11-22,4.1
Eh Plus English Application,FAMILY,0.85,Free,0.0,Everyone,Education,2015-05-27,4.0
Start the Hunt for the Lost Treasure,FAMILY,8.1,Free,0.0,Everyone,Puzzle;Brain Games,2017-09-13,3.0
Jigsaw Puzzles Volvo FH Truck Game,FAMILY,4.7,Free,0.0,Teen,Puzzle,2017-07-24,3.0
Invasion: Defend EU,GAME,20.0,Free,0.0,Everyone,Arcade,2017-12-08,2.3
MiAI (Artificial Intelligence) Assistant,PRODUCTIVITY,7.5,Free,0.0,Everyone,Productivity,2018-03-01,4.1
LTC AS Legal,MEDICAL,1.3,Paid,39.99,Everyone,Medical,2018-04-04,4.1
LC-DB-LITE,PHOTOGRAPHY,2.3,Free,0.0,Everyone,Photography,2017-10-20,4.2
Wind & Weather Meter for Ag,WEATHER,14.0,Free,0.0,Everyone,Weather,2016-03-14,4.3
Bing Ads,BUSINESS,13.0,Free,0.0,Everyone,Business,2018-07-20,4.1
Monster Ride Pro,GAME,24.0,Free,0.0,Everyone,Racing,2018-03-05,2.3
DrivingTest,FAMILY,45.0,Free,0.0,Everyone,Simulation,2017-02-27,4.1
EZ Web Video Cast | Chromecast,VIDEO_PLAYERS,4.6,Free,0.0,Everyone,Video Players & Editors,2017-12-14,4.4
Cp Calculator for Evolution:GO,FAMILY,2.5,Free,0.0,Everyone,Entertainment,2016-08-23,4.2
Poker Live! 3D Texas Hold'em,GAME,37.0,Free,0.0,Teen,Casino,2018-07-25,3.0
Ej-buy,BUSINESS,4.1,Free,0.0,Everyone,Business,2018-08-02,4.1
FG. Chic - House Lounge Musique - Radios de France,FAMILY,6.5,Free,0.0,Everyone,Entertainment,2018-06-09,4.2
"Ibotta: Cash Back Savings, Rewards & Coupons App",SHOPPING,52.0,Free,0.0,Everyone,Shopping,2018-08-01,4.1
C by GE,LIFESTYLE,6.6,Free,0.0,Everyone,Lifestyle,2018-07-11,4.3
Ag Trucking Mobile App,PRODUCTIVITY,43.0,Free,0.0,Everyone,Productivity,2017-05-17,3.0
Mircules DX Cluster Lite,COMMUNICATION,21.0,Free,0.0,Everyone,Communication,2016-05-10,4.1
Armani Exchange Connected,LIFESTYLE,44.0,Free,0.0,Everyone,Lifestyle,2017-07-04,4.4
N Launcher Pro - Nougat 7.0,PERSONALIZATION,6.4,Paid,2.99,Everyone,Personalization,2018-03-23,4.1
The Walking Zombie: Dead City,GAME,96.0,Free,0.0,Teen,Action,2018-02-21,4.1
Talking Ben the Dog,ENTERTAINMENT,57.0,Free,0.0,Everyone,Entertainment,2018-07-03,4.1
AJ Percent Off Calculator,SHOPPING,0.04,Free,0.0,Everyone,Shopping,2013-06-04,2.2
DM 24/7,TOOLS,16.0,Free,0.0,Everyone,Tools,2018-08-01,2.3
AP Flashcards,FAMILY,41.0,Free,0.0,Everyone,Education,2015-08-30,3.1
Brightest Flashlight - LED Light,TOOLS,9.1,Free,0.0,Everyone,Tools,2018-07-27,3.0
Strawberry Shortcake BerryRush,FAMILY,48.0,Free,0.0,Everyone,Action;Action & Adventure,2017-10-15,2.3
My MLS App,LIFESTYLE,13.0,Free,0.0,Everyone,Lifestyle,2018-06-04,3.0
Block Strike,GAME,60.0,Free,0.0,Teen,Action,2018-07-25,4.1
Flo's CH Boss Timer,FAMILY,3.4,Free,0.0,Everyone,Role Playing,2017-03-27,3.0
"Charlotte County, FL",PRODUCTIVITY,7.1,Free,0.0,Everyone,Productivity,2017-02-23,3.0
ChatVideo Meet new people,DATING,20.0,Free,0.0,Mature 17+,Dating,2018-05-31,4.0
CJ: Strike Back,GAME,6.9,Free,0.0,Everyone,Action,2012-08-17,1.0
CityMaps2Go Plan Trips Travel Guide Offline Maps,TRAVEL_AND_LOCAL,58.0,Free,0.0,Everyone,Travel & Local,2018-06-09,5.0
Undertale AU Amino,SOCIAL,63.0,Free,0.0,Teen,Social,2018-07-13,3.0
Q-slope,TOOLS,3.9,Paid,1.76,Everyone,Tools,2017-12-03,4.3
TNEB Bill Checker / TNEB Bill Status,FINANCE,5.0,Free,0.0,Everyone,Finance,2018-03-03,3.0
AV Phone,COMMUNICATION,3.7,Free,0.0,Everyone,Communication,2018-07-09,5.1
