App,Category,Size_in_MB,Type,Price,Content Rating,Genres,Last Updated,Android Ver
CW Seed,FAMILY,13.0,Free,0.0,Teen,Entertainment,2018-07-18,4.4 and up
Amex Mobile,FINANCE,32.0,Free,0.0,Everyone,Finance,2018-08-03,5.0 and up
Barbie Magical Fashion,FAMILY,15.0,Free,0.0,Everyone,Casual;Creativity,2017-10-06,4.1 and up
Four In A Line,GAME,3.0,Free,0.0,Everyone,Board,2015-05-04,2.3 and up
"Herpes Dating: 1,000K+ Singles",DATING,27.0,Free,0.0,Mature 17+,Dating,2018-08-01,4.1 and up
Hotels Combined - Cheap deals,TRAVEL_AND_LOCAL,12.0,Free,0.0,Everyone,Travel & Local,2017-11-13,4.1 and up
Extreme Racing 2 - Real driving RC cars game!,FAMILY,93.0,Free,0.0,Everyone,Racing;Action & Adventure,2017-08-31,4.1 and up
ARY NEWS,NEWS_AND_MAGAZINES,9.8,Free,0.0,Everyone,News & Magazines,2018-08-04,4.1 and up
Anime Avatar Creator: Make Your Own Avatar,LIFESTYLE,36.0,Free,0.0,Everyone,Lifestyle,2018-06-15,4.1 and up
GasBuddy: Find Cheap Gas,TRAVEL_AND_LOCAL,42.0,Free,0.0,Mature 17+,Travel & Local,2018-08-02,4.4 and up
Funny Alarm Clock Ringtones,PERSONALIZATION,14.0,Free,0.0,Everyone,Personalization,2017-03-09,4.0.3 and up
Blood Pressure Log - MyDiary,MEDICAL,2.6,Free,0.0,Everyone,Medical,2018-04-13,4.0 and up
Blood Donor,MEDICAL,20.0,Free,0.0,Everyone,Medical,2018-07-31,4.1 and up
Dream League Soccer 2018,GAME,74.0,Free,0.0,Everyone,Sports,2018-07-16,4.4 and up
Harkins Theatres,ENTERTAINMENT,12.0,Free,0.0,Everyone,Entertainment,2018-06-11,4.1 and up
Anthem Anywhere,MEDICAL,24.0,Free,0.0,Everyone,Medical,2018-07-27,4.4 and up
HD Camera for Android,PHOTOGRAPHY,4.0,Free,0.0,Everyone,Photography,2018-06-29,4.2 and up
Home Workout for Men - Bodybuilding,HEALTH_AND_FITNESS,15.0,Free,0.0,Everyone,Health & Fitness,2018-07-10,4.0 and up
Azpen eReader,BOOKS_AND_REFERENCE,42.0,Free,0.0,Everyone,Books & Reference,2018-02-15,2.2 and up
Hello Kitty Lunchbox,FAMILY,15.0,Free,0.0,Everyone,Casual;Creativity,2017-11-21,4.1 and up
Anatomy Learning - 3D Atlas,MEDICAL,16.0,Free,0.0,Everyone,Medical,2018-07-18,4.1 and up
Farming Simulator 18,GAME,15.0,Paid,4.99,Everyone,Simulation;Education,2018-07-09,4.4 and up
Farming Simulator 14,FAMILY,51.0,Free,0.0,Everyone,Simulation;Action & Adventure,2017-07-17,2.3.3 and up
FollowMyHealth®,MEDICAL,37.0,Free,0.0,Everyone,Medical,2018-05-10,4.4 and up
Diamond Zipper Lock Screen,PERSONALIZATION,12.0,Free,0.0,Everyone,Personalization,2018-06-11,4.1 and up
Angry Birds 2,GAME,57.0,Free,0.0,Everyone,Casual,2018-07-26,4.1 and up
Family Locator - GPS Tracker,LIFESTYLE,45.0,Free,0.0,Everyone,Lifestyle,2018-08-02,4.4 and up
Home Workout - No Equipment,HEALTH_AND_FITNESS,15.0,Free,0.0,Everyone,Health & Fitness,2018-06-28,Varies with device
"Eve Period Tracker - Love, Sex & Relationships App",HEALTH_AND_FITNESS,28.0,Free,0.0,Teen,Health & Fitness,2018-08-04,4.1 and up
Amtrak,TRAVEL_AND_LOCAL,28.0,Free,0.0,Everyone,Travel & Local,2018-07-15,5.0 and up
Hipmunk Hotels & Flights,TRAVEL_AND_LOCAL,10.0,Free,0.0,Everyone,Travel & Local,2018-07-31,5.0 and up
BioLife Plasma Services,MEDICAL,23.0,Free,0.0,Everyone,Medical,2018-07-09,4.4 and up
Fly Delta,TRAVEL_AND_LOCAL,46.0,Free,0.0,Everyone,Travel & Local,2018-07-31,5.0 and up
HealtheLife,MEDICAL,7.7,Free,0.0,Everyone,Medical,2018-01-02,4.4 and up
Candy Crush Jelly Saga,GAME,78.0,Free,0.0,Everyone,Puzzle,2018-07-20,4.0 and up
All Football - Latest News & Videos,SPORTS,17.0,Free,0.0,Everyone,Sports,2018-08-03,4.1 and up
4K Wallpapers and Ultra HD Backgrounds,PERSONALIZATION,3.8,Free,0.0,Everyone 10+,Personalization,2018-07-04,4.0.3 and up
Current debit card and app made for teens,FINANCE,21.0,Free,0.0,Everyone,Finance,2018-08-03,4.4 and up
2RedBeans,DATING,32.0,Free,0.0,Mature 17+,Dating,2018-07-31,4.3 and up
AppLock - Fingerprint,TOOLS,3.5,Free,0.0,Everyone,Tools,2018-04-13,2.3 and up
BBW Dating & Plus Size Chat,DATING,29.0,Free,0.0,Mature 17+,Dating,2018-07-27,4.1 and up
Educational Games for Kids,FAMILY,24.0,Free,0.0,Everyone,Educational;Education,2018-05-27,4.0 and up
Flow Free,GAME,11.0,Free,0.0,Everyone,Puzzle,2018-04-11,4.1 and up
Call Blocker,BUSINESS,3.2,Free,0.0,Everyone,Business,2018-06-21,4.0 and up
Couple - Relationship App,SOCIAL,8.4,Free,0.0,Everyone,Social,2015-03-05,2.3 and up
BIG Launcher,PERSONALIZATION,5.9,Paid,9.99,Everyone,Personalization,2018-06-20,2.1 and up
HTC Speak,LIFESTYLE,13.0,Free,0.0,Everyone,Lifestyle,2016-06-30,5.0 and up
"Home workouts - fat burning, abs, legs, arms,chest",HEALTH_AND_FITNESS,13.0,Free,0.0,Everyone,Health & Fitness,2018-07-18,4.1 and up
Health and Nutrition Guide,HEALTH_AND_FITNESS,3.3,Free,0.0,Everyone,Health & Fitness,2018-07-15,4.0 and up
Cycling - Bike Tracker,HEALTH_AND_FITNESS,4.0,Free,0.0,Everyone,Health & Fitness,2018-07-30,4.1 and up
Contacts+,COMMUNICATION,11.0,Free,0.0,Everyone,Communication,2018-07-31,4.0.3 and up
