App,Category,Rating,Reviews,Size_in_MB,Type,Price,Content_Rating,Genres,Last_Updated,Android_Ver
Metal Detector Pro 2015,TOOLS,3.6,1166,0.34,Free,0.0,Everyone,Tools,2015-03-30,4.0
Alchemy Classic Ad Free,FAMILY,4.6,20178,9.0,Free,0.0,Everyone,Puzzle,2014-05-26,1.6
NB|AZ Mobile Banking,FINANCE,4.0,463,13.0,Free,0.0,Everyone,Finance,2018-04-05,4.2
Dungeon Rush,FAMILY,4.0,28633,81.0,Free,0.0,Everyone 10+,Role Playing,2016-12-23,2.3
Diario Financiero,FINANCE,4.12,30,24.0,Free,0.0,Everyone,Finance,2018-06-18,4.1
Bubble,TOOLS,4.5,31621,0.2,Free,0.0,Everyone,Tools,2011-07-10,1.6
Helper for Clash Royale (All-in-1),FAMILY,4.3,6078,37.0,Free,0.0,Everyone,Entertainment,2017-11-10,4.1
Thai Handwriting,EDUCATION,4.3,3168,19.0,Free,0.0,Everyone,Education,2017-10-26,4.4
Digital Falak,TOOLS,4.7,3408,15.0,Free,0.0,Everyone,Tools,2018-05-30,4.1
GastroHunter.EU,LIFESTYLE,4.09,1,1.5,Free,0.0,Everyone,Lifestyle,2015-04-23,4.3
Robocar X Ray,GAME,4.5,3432,99.0,Free,0.0,Mature 17+,Action,2017-01-23,2.3
Pregnant Mom Surgery Newborn Twins Baby Birth Care,FAMILY,4.3,95,28.0,Free,0.0,Teen,Educational,2018-02-24,4.1
Music - Mp3 Player,VIDEO_PLAYERS,4.4,259605,3.1,Free,0.0,Everyone,Video Players & Editors,2018-08-03,3.0
Snapfish,PHOTOGRAPHY,4.1,32398,28.0,Free,0.0,Everyone,Photography,2018-08-01,4.4
FH School,FAMILY,5.0,4,5.8,Free,0.0,Everyone,Education,2018-04-11,3.0
American Girls Mobile Numbers,DATING,5.0,5,4.4,Free,0.0,Mature 17+,Dating,2018-07-17,3.0
Ethical Hacking,FAMILY,4.1,128,3.2,Free,0.0,Everyone,Education,2018-07-09,3.0
Gayvox - Gay Lesbian Bi Dating,SOCIAL,3.4,3640,9.1,Free,0.0,Mature 17+,Social,2016-06-13,2.3
Black Classic DW Watch Theme,PERSONALIZATION,4.33,1,2.9,Free,0.0,Everyone,Personalization,2018-07-25,4.0
QR & Barcode Scanner BX PRO,TOOLS,4.04,4,3.0,Free,0.0,Everyone,Tools,2017-10-30,4.2
Your Freedom VPN Client,COMMUNICATION,4.0,74497,5.3,Free,0.0,Everyone,Communication,2018-05-19,4.0
My Vodacom SA,COMMUNICATION,3.7,25021,61.0,Free,0.0,Everyone,Communication,2018-06-26,4.3
BD Radio TV Free List,FAMILY,4.3,539,13.0,Free,0.0,Everyone,Entertainment,2018-08-01,4.2
G-SHOCK Connected,LIFESTYLE,3.0,543,94.0,Free,0.0,Everyone,Lifestyle,2018-07-02,5.0
Please Don't Touch Anything 3D,FAMILY,4.2,146,20.0,Paid,5.99,Teen,Puzzle,2016-12-07,4.4
BA VPN - Free Unlimited VPN,FAMILY,4.1,181,9.2,Free,0.0,Everyone,Entertainment,2018-06-14,5.0
Car Driving Theory Test BC,FAMILY,4.18,0,2.2,Paid,1.49,Everyone,Education,2012-04-09,2.1
EC-HRV test,SPORTS,3.0,9,4.3,Free,0.0,Everyone,Sports,2018-07-26,4.4
ePN Cashback AliExpress,SHOPPING,4.4,19212,6.9,Free,0.0,Everyone,Shopping,2018-08-03,4.1
Cacique CF,SPORTS,4.22,19,3.5,Free,0.0,Everyone,Sports,2016-10-10,3.0
Governor of Poker 2 - OFFLINE POKER GAME,GAME,4.3,246538,60.0,Free,0.0,Teen,Card,2018-03-06,2.3
Gold Quote - Gold.fr,FINANCE,4.12,96,1.5,Free,0.0,Everyone,Finance,2016-05-19,2.2
Flim Af Somali Hindi Fanproj,FAMILY,3.9,12,3.5,Free,0.0,Everyone,Entertainment,2018-06-22,4.0
DV Portfolio,TOOLS,4.04,0,16.0,Free,0.0,Everyone,Tools,2017-10-23,4.1
Real Racing 3,FAMILY,4.5,354454,71.0,Free,0.0,Everyone,Racing;Action & Adventure,2018-07-02,4.1
"AllTrails: Hiking, Running & Mountain Bike Trails",HEALTH_AND_FITNESS,4.3,16943,32.0,Free,0.0,Everyone,Health & Fitness,2018-07-30,4.4
HANGAME Casino - Baccarat & Texas Hold'em,GAME,4.1,8608,46.0,Free,0.0,Teen,Casino,2018-05-17,4.1
Ghosts'n Goblins MOBILE,GAME,3.8,466,28.0,Paid,0.99,Everyone,Arcade,2017-03-28,4.1
Info BMKG,WEATHER,4.3,21404,7.6,Free,0.0,Everyone,Weather,2017-06-15,4.4
HondaLink EV,TOOLS,2.8,44,41.0,Free,0.0,Everyone,Tools,2018-06-20,2.3
FR Tides,WEATHER,3.8,1195,0.57,Free,0.0,Everyone,Weather,2014-02-16,2.1
SMS Park,AUTO_AND_VEHICLES,4.5,3617,7.9,Free,0.0,Everyone,Auto & Vehicles,2018-05-16,4.1
"iPair-Meet, Chat, Dating",DATING,4.5,182986,77.0,Free,0.0,Mature 17+,Dating,2018-08-02,4.1
Gold Butterfly Keyboard Theme,HOUSE_AND_HOME,4.3,10054,9.1,Free,0.0,Everyone,House & Home,2018-07-12,3.0
Google Assistant,PRODUCTIVITY,4.2,58675,1.3,Free,0.0,Everyone,Productivity,2018-03-09,5.0
Strange Hero: Future Battle,GAME,4.2,88901,73.0,Free,0.0,Teen,Action,2018-05-24,4.0
EU Whoiswho,BUSINESS,4.1,0,2.7,Free,0.0,Everyone,Business,2016-12-01,4.0
foody Cyprus - online ordering,SHOPPING,4.5,214,1.8,Free,0.0,Everyone,Shopping,2018-02-27,3.0
DB for Hustle Castle,FAMILY,4.8,21,49.0,Free,0.0,Everyone,Role Playing,2018-07-04,4.1
Paramedic Protocol Provider,MEDICAL,4.5,171,20.0,Paid,10.0,Everyone 10+,Medical,2017-09-21,4.1
